"block","address","size","name","r/w","description"
"G2","18","4","ADST","RW","ACIA:G2-DMA start"
"G2","1c","4","ADSUSP","RW","ACIA:G2-DMA suspend"
,,,,,
"G2","20","4","E1STAG","RW","Ext1:G2-DMA start address"
"G2","24","4","E1STAR","RW","Ext1:G2-DMA system memory start address"
"G2","28","4","E1LEN","RW","Ext1:G2-DMA length"
"G2","2c","4","E1DIR","RW","Ext1:G2-DMA direction"
"G2","30","4","E1TSEL","RW","Ext1:G2-DMA trigger select"
"G2","34","4","E1EN","RW","Ext1:G2-DMA enable"
"G2","38","4","E1ST","RW","Ext1:G2-DMA start"
"G2","3c","4","E1SUSP","RW","Ext1:G2-DMA suspend"
,,,,,
"G2","40","4","E2STAG","RW","Ext2:G2-DMA start address"
"G2","44","4","E2STAR","RW","Ext2:G2-DMA system memory start address"
"G2","48","4","E2LEN","RW","Ext2:G2-DMA length"
"G2","4c","4","E2DIR","RW","Ext2:G2-DMA direction"
"G2","50","4","E2TSEL","RW","Ext2:G2-DMA trigger select"
"G2","54","4","E2EN","RW","Ext2:G2-DMA enable"
"G2","58","4","E2ST","RW","Ext2:G2-DMA start"
"G2","5c","4","E2SUSP","RW","Ext2:G2-DMA suspend"
,,,,,
"G2","60","4","DDSTAG","RW","Dev:G2-DMA start address"
"G2","64","4","DDSTAR","RW","Dev:G2-DMA system memory start address"
"G2","68","4","DDLEN","RW","Dev:G2-DMA length"
"G2","6c","4","DDDIR","RW","Dev:G2-DMA direction"
"G2","70","4","DDTSEL","RW","Dev:G2-DMA trigger select"
"G2","74","4","DDEN","RW","Dev:G2-DMA enable"
"G2","78","4","DDST","RW","Dev:G2-DMA start"
"G2","7c","4","DDSUSP","RW","Dev:G2-DMA suspend"
,,,,,
"G2","80","4","G2ID","R","G2 bus version"
,,,,,
"G2","90","4","G2DSTO","RW","G2/DS timeout"
"G2","94","4","G2TRTO","RW","G2/TR timeout"
"G2","98","4","G2MDMTO","RW","Modem unit wait timeout"
"G2","9c","4","G2MDMW","RW","Modem unit wait time"
,,,,,
"G2","bc","4","G2APRO","W","G2-DMA address range"
,,,,,
"G2","c0","4","ADSTAGD","R","AICA-DMA address counter (on AICA)"
"G2","c4","4","ADSTARD","R","AICA-DMA address counter (on root bus)"
"G2","c8","4","ADLEND","R","AICA-DMA transfer counter"
,,,,,
"G2","d0","4","E1STAGD","R","Ext-DMA1 address counter (on Ext)"
"G2","d4","4","E1STARD","R","Ext-DMA1 address counter (on root bus)"
"G2","d8","4","E1LEND","R","Ext-DMA1 transfer counter"
,,,,,
"G2","e0","4","E2STAGD","R","Ext-DMA2 address counter (on Ext)"
"G2","e4","4","E2STARD","R","Ext-DMA2 address counter (on root bus)"
"G2","e8","4","E2LEND","R","Ext-DMA2 transfer counter"
,,,,,
"G2","f0","4","DDSTAGD","R","Dev-DMA address counter (on Dev)"
"G2","f4","4","DDSTARD","R","Dev-DMA address counter (on root bus)"
"G2","f8","4","DDLEND","R","Dev-DMA transfer counter"
,,,,,
"PVR","00","4","PDSTAP","RW","PVR-DMA start address"
"PVR","04","4","PDSTAR","RW","PVR-DMA system memory start address"
"PVR","08","4","PDLEN","RW","PVR-DMA length"
"PVR","0c","4","PDDIR","RW","PVR-DMA direction"
"PVR","10","4","PDTSEL","RW","PVR-DMA trigger select"
"PVR","14","4","PDEN","RW","PVR-DMA enable"
"PVR","18","4","PDST","RW","PVR-DMA start"
,,,,,
"PVR","80","4","PDAPRO","W","PVR-DMA address range"
,,,,,
"PVR","f0","4","PDSTAPD","R","PVR-DMA address counter (on Ext)"
"PVR","f4","4","PDSTARD","R","PVR-DMA address counter (on root bus)"
"PVR","f8","4","PDLEND","R","PVR-DMA transfer counter"
